structure_id,x,y,z,reference_space_id
880,10450,4175,5900,9
882,4600,2800,7600,9
884,6750,5475,9350,9
886,8050,1125,6075,9
888,7875,4775,10425,9
889,5850,2750,8975,9
893,6400,3675,9450,9
894,7975,600,6925,9
895,8025,4325,10325,9
896,6575,4275,7925,9
897,6275,4575,10600,9
898,10600,4550,6200,9
9,6825,1350,7375,9
900,3200,5175,6825,9
901,11275,6100,8025,9
902,9950,2250,9000,9
903,12475,4825,7150,9
904,4425,5850,5875,9
905,8275,1550,9525,9
906,7725,975,6900,9
907,6775,4400,6400,9
908,5300,5475,7200,9
909,9550,4900,9825,9
91,11575,3925,7625,9
910,3250,3450,6450,9
911,10150,3575,6650,9
912,11500,4100,6025,9
914,5450,5800,6225,9
917,12675,5250,6275,9
918,9175,5025,10050,9
919,4600,2250,6475,9
920,10950,3025,6325,9
922,7925,4725,10275,9
924,8400,5675,7425,9
926,9850,4225,9050,9
927,4925,2325,6575,9
928,11600,2300,6750,9
929,5950,2925,8825,9
93,9325,5950,7550,9
930,7550,3900,6550,9
931,8925,6450,6350,9
932,8775,5475,6425,9
933,9675,4825,7500,9
934,8725,6375,8725,9
935,4350,1875,5775,9
936,12350,2125,6550,9
938,11875,6850,6825,9
939,11650,6550,7125,9
940,6400,1650,6650,9
942,5950,5625,9150,9
943,4100,2025,8075,9
944,12925,2900,6300,9
945,5600,2225,7950,9
946,7575,5475,5900,9
948,9700,4575,7525,9
949,2300,3775,6575,9
95,4150,4700,8875,9
950,4600,2875,9200,9
951,12850,3500,6200,9
952,5750,5425,9250,9
954,7975,3000,9825,9
957,12650,4350,6250,9
958,6925,3200,6025,9
959,7875,3525,10800,9
96,11325,5025,8250,9
960,11200,3625,7650,9
961,5725,6275,9050,9
962,3275,1875,7225,9
965,8025,475,6975,9
966,6475,6350,8975,9
967,2500,5850,5825,9
968,11900,4275,6375,9
969,2475,3800,6400,9
97,8575,3675,10775,9
970,11400,5425,6025,9
972,3150,2775,6025,9
973,9150,1700,9425,9
974,4650,3050,9075,9
975,8725,4075,5750,9
977,7900,4350,10000,9
978,11825,7075,6825,9
980,7575,6150,6250,9
981,6575,1350,9300,9
982,7125,2250,5875,9
983,6375,2450,8250,9
985,4200,2325,7900,9
987,10250,5675,6475,9
988,7900,4350,10225,9
989,11750,3725,6650,9
990,7675,3575,10475,9
991,6400,2825,7325,9
993,3525,2125,7075,9
996,2950,4375,8450,9
997,6875,3825,7975,9
998,5275,6075,7975,9
1,7800,6550,4790,10
10,8725,2200,4690,10
100,8700,5500,5515,10
1000,10200,5925,4240,10
1002,7950,2850,1140,10
1004,7525,6525,5090,10
1005,8025,3025,1665,10
1006,6625,550,3765,10
1007,11150,2700,3315,10
1008,7850,3450,3315,10
1009,7750,4425,3865,10
101,10625,5750,2915,10
1010,6175,4500,1115,10
1011,7550,2375,1440,10
1014,7700,3975,3015,10
1015,4375,2050,5215,10
1016,1050,5500,5515,10
1017,11900,3075,2665,10
1018,7775,3575,940,10
1020,7300,3725,4340,10
1021,3925,2600,4315,10
1022,6100,4875,3390,10
1023,7800,3575,1140,10
1025,12600,4075,3190,10
1026,5800,2325,3590,10
1027,8450,2275,1465,10
1029,8325,3950,3940,10
1030,5825,750,3790,10
1031,6625,5325,3665,10
1033,12525,4175,3940,10
1035,6025,3400,1365,10
1037,9250,2150,3640,10
1038,6800,2125,2640,10
1039,13000,5175,5365,10
104,3425,4300,2990,10
1041,11050,5375,1965,10
1044,8300,4425,3315,10
1045,8050,4275,1465,10
1046,7725,1100,4115,10
1047,6675,1750,2265,10
1048,11350,6125,5315,10
1049,10475,5200,2440,10
105,9975,6775,4615,10
1052,9675,4475,4390,10
1054,3650,3700,5040,10
1057,4675,4475,1940,10
1058,6375,4500,1315,10
106,11225,5525,4215,10
1060,8900,4575,5515,10
1061,7900,2875,5040,10
1062,7000,2175,2740,10
1065,11225,5650,4640,10
1066,7700,575,3965,10
1069,11200,7275,4990,10
1070,6725,1900,2490,10
10703,8350,2750,3690,10
10704,8475,3075,2990,10
1073,11925,3075,2665,10
1074,8300,1450,1740,10
1077,6625,5275,5240,10
1080,7975,2825,2690,10
1081,3750,3575,4865,10
1083,6450,3275,5040,10
1084,9450,2925,3115,10
1085,4125,2775,4340,10
1086,6725,1000,3740,10
1089,8775,3850,2365,10
1090,6100,3500,1540,10
1092,6575,4275,3465,10
1093,10275,5675,4990,10
1094,5950,1200,3890,10
1097,6900,5850,4865,10
1098,12775,5675,4390,10
1099,6550,2775,3865,10
1100,8025,3200,4415,10
1101,3475,4300,3015,10
1102,4875,3175,2565,10
1105,6525,6300,2865,10
1106,6300,4525,965,10
1107,12625,6350,5040,10
1109,5150,5775,5040,10
111,6025,5125,1515,10
1111,6750,1100,3990,10
1113,6200,4250,5190,10
1114,8275,1675,1965,10
1117,9550,5300,4815,10
1120,6250,4600,5565,10
1123,11375,5250,3415,10
1125,2900,3525,4765,10
1126,7500,6225,5515,10
1127,8400,3775,740,10
1128,6050,1400,3990,10
1129,6850,4900,4890,10
113,5875,950,3840,10
1132,10175,5500,3590,10
1139,6100,6800,3515,10
114,10050,6750,4240,10
115,9600,3775,5390,10
117,5425,7050,5365,10
118,6850,6200,5640,10
119,3725,4950,3040,10
12,8575,5000,5590,10
120,5975,5275,1140,10
121,9000,2200,2365,10
122,9825,6875,4415,10
125,6800,6175,3865,10
126,7600,6675,5515,10
127,6125,4525,4940,10
128,8950,4175,4490,10
129,6075,3425,5515,10
131,7325,5200,2015,10
132,3850,3175,4790,10
133,5525,6175,5615,10
135,11850,6650,4290,10
136,11675,6075,4740,10
138,7375,3425,4190,10
14,7200,4600,4865,10
140,10175,3000,5540,10
141,5800,6400,5265,10
143,12150,6700,4340,10
145,11675,4450,4540,10
146,9600,5475,4765,10
147,10725,4300,4690,10
148,4625,4475,1815,10
149,6175,3775,5615,10
15,5850,4525,5315,10
151,1925,3675,4540,10
153,11850,5025,3365,10
154,11500,5075,5440,10
155,6625,3225,4290,10
156,7575,2700,1815,10
157,6450,6300,5615,10
158,8050,3200,5540,10
